,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
10,퍼스트커피랩 범어점,"카페,디저트",0.0,51,15,대구 수성구 국채보상로162길 34 1층,10:00에 영업 시작,0507-1366-4841,,,,"{'커피가 맛있어요': 38, '친절해요': 33, '디저트가 맛있어요': 31, '인테리어가 멋져요': 25, '음료가 맛있어요': 22, '매장이 청결해요': 21, '대화하기 좋아요': 15, '좌석이 편해요': 6, '음식이 맛있어요': 6, '특별한 메뉴가 있어요': 5, '사진이 잘 나와요': 4, '오래 머무르기 좋아요': 4, '집중하기 좋아요': 4, '화장실이 깨끗해요': 2, '뷰가 좋아요': 2, '빵이 맛있어요': 1, '가성비가 좋아요': 1, '매장이 넓어요': 1}",51,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231020_277%2F1697791366538xXkkf_JPEG%2FKakaoTalk_20231020_173350880_01.jpg"""
11,카페오굿,"카페,디저트",0.0,220,33,대구 수성구 달구벌대로492길 45-2 1층,10:30에 영업 시작,0507-0289-3526,,,,"{'친절해요': 122, '커피가 맛있어요': 101, '인테리어가 멋져요': 95, '매장이 청결해요': 94, '디저트가 맛있어요': 93, '아늑해요': 83, '음료가 맛있어요': 78, '대화하기 좋아요': 57, '사진이 잘 나와요': 45, '특별한 메뉴가 있어요': 34, '가성비가 좋아요': 31, '집중하기 좋아요': 31, '화장실이 깨끗해요': 19, '좌석이 편해요': 18, '차분한 분위기에요': 2, '음악이 좋아요': 2, '야외 공간이 멋져요': 1, '주차하기 편해요': 1}",220,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230707_129%2F1688691959976rmxiV_JPEG%2F%25B4%25EB%25B1%25B8%25C4%25AB%25C6%25E4_%25BC%25F6%25BC%25BA%25B1%25B8%25C4%25AB%25C6%25E4_%25B9%25FC%25BE%25EE%25B5%25BF_%25C4%25AB%25C6%25E4_%25BC%25F6%25BC%25BA%25B1%25B8%25C3%25BB%25BF%25AA_%25C4%25AB%25C6%25E4_01_.jpg"""
12,크렘드라크렘 범어점,아이스크림,0.0,146,28,"대구 수성구 범어로18길 22 1층 106호, 크렘드라크렘 범어점",12:00에 영업 시작,0507-1437-2466,,,,"{'디저트가 맛있어요': 116, '친절해요': 74, '인테리어가 멋져요': 72, '특별한 메뉴가 있어요': 64, '매장이 청결해요': 57, '종류가 다양해요': 48, '메뉴 구성이 알차요': 33, '가성비가 좋아요': 17, '사진이 잘 나와요': 15, '대화하기 좋아요': 14, '뷰가 좋아요': 4, '좌석이 편해요': 3, '재료가 신선해요': 3, '반려동물과 가기 좋아요': 3, '아늑해요': 2, '음식이 맛있어요': 2, '주차하기 편해요': 2, '집중하기 좋아요': 2, '건강한 맛이에요': 2, '아이와 가기 좋아요': 1, '양이 많아요': 1, '화장실이 깨끗해요': 1}",144,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230915_142%2F1694736514056RlXvx_JPEG%2FKakaoTalk_20230915_090731278.jpg"""
13,미스틱오븐,베이커리,4.58,551,128,대구 수성구 달구벌대로489길 88 1층,09:00에 영업 시작,0507-1324-0047,,,,"{'빵이 맛있어요': 245, '커피가 맛있어요': 124, '친절해요': 83, '음료가 맛있어요': 58, '대화하기 좋아요': 58, '매장이 청결해요': 53, '집중하기 좋아요': 28, '화장실이 깨끗해요': 24, '인테리어가 멋져요': 23, '특별한 메뉴가 있어요': 23, '좌석이 편해요': 14, '가성비가 좋아요': 14, '사진이 잘 나와요': 8, '뷰가 좋아요': 5, '디저트가 맛있어요': 4, '주차하기 편해요': 3, '차분한 분위기에요': 1, '메뉴 구성이 알차요': 1}",318,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180927_26%2F1538039708214oxzz1_JPEG%2FP9SH8DendcpQk-8s37NXzHDc.jpg"""
14,플로떼,"카페,디저트",0.0,164,68,대구 수성구 청솔로22길 11 1층,12:00에 영업 시작,0507-1378-1850,,,,"{'디저트가 맛있어요': 140, '친절해요': 83, '특별한 메뉴가 있어요': 82, '매장이 청결해요': 70, '커피가 맛있어요': 58, '음료가 맛있어요': 35, '인테리어가 멋져요': 35, '가성비가 좋아요': 24, '대화하기 좋아요': 21, '화장실이 깨끗해요': 19, '사진이 잘 나와요': 18, '음식이 맛있어요': 13, '오래 머무르기 좋아요': 8, '집중하기 좋아요': 8, '좌석이 편해요': 7, '뷰가 좋아요': 4, '아늑해요': 2, '메뉴 구성이 알차요': 2, '음악이 좋아요': 2, '비싼 만큼 가치있어요': 2, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '재료가 신선해요': 1, '선물하기 좋아요': 1, '주차하기 편해요': 1}",163,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230417_32%2F1681660954856oLCQU_JPEG%2F74A7C336-DFA8-4979-BFED-4828278C9E44.jpeg"""
15,양자과자점,베이커리,0.0,161,118,대구 수성구 청호로88길 50 1층 양자과자점 범어만촌점,09:30에 영업 시작,0507-1434-2890,,,,"{'빵이 맛있어요': 114, '특별한 메뉴가 있어요': 100, '친절해요': 80, '매장이 청결해요': 68, '커피가 맛있어요': 47, '인테리어가 멋져요': 46, '음료가 맛있어요': 28, '가성비가 좋아요': 24, '사진이 잘 나와요': 15, '대화하기 좋아요': 14, '디저트가 맛있어요': 9, '메뉴 구성이 알차요': 6, '주차하기 편해요': 5, '종류가 다양해요': 3, '재료가 신선해요': 2, '화장실이 깨끗해요': 2, '뷰가 좋아요': 2, '좌석이 편해요': 1, '음식이 맛있어요': 1, '비싼 만큼 가치있어요': 1, '집중하기 좋아요': 1, '건강한 맛이에요': 1}",161,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220525_280%2F1653487480971jLXGE_JPEG%2F1653120706780.jpg"""
16,한스 수성범어점,카페,4.53,591,67,대구 수성구 달구벌대로 2482 1층,09:30에 영업 시작,053-741-1525,,,,"{'디저트가 맛있어요': 244, '친절해요': 75, '커피가 맛있어요': 71, '특별한 메뉴가 있어요': 64, '매장이 청결해요': 60, '음료가 맛있어요': 36, '인테리어가 멋져요': 17, '대화하기 좋아요': 13, '가성비가 좋아요': 11, '좌석이 편해요': 9, '집중하기 좋아요': 6, '사진이 잘 나와요': 5, '화장실이 깨끗해요': 4, '주차하기 편해요': 3, '차분한 분위기에요': 1, '빵이 맛있어요': 1, '뷰가 좋아요': 1}",337,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181124_149%2F1542992369759lmcT7_JPEG%2Fa4lZ21StmqazgmDVVRTkc6Z7.jpg"""
17,스타벅스 대구그랜드호텔R점,카페,4.59,3750,385,대구 수성구 동대구로 305,07:00에 영업 시작,1522-3232,,,,"{'커피가 맛있어요': 931, '친절해요': 488, '인테리어가 멋져요': 382, '음료가 맛있어요': 367, '매장이 청결해요': 326, '대화하기 좋아요': 271, '디저트가 맛있어요': 240, '좌석이 편해요': 211, '특별한 메뉴가 있어요': 170, '주차하기 편해요': 155, '집중하기 좋아요': 104, '화장실이 깨끗해요': 104, '사진이 잘 나와요': 68, '뷰가 좋아요': 51, '가성비가 좋아요': 47, '매장이 넓어요': 12, '오래 머무르기 좋아요': 3, '종류가 다양해요': 3, '음악이 좋아요': 2, '건강한 맛이에요': 2, '차가 맛있어요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '비싼 만큼 가치있어요': 1}",1975,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
18,백록다방,"카페,디저트",4.76,255,195,대구 수성구 범어로20길 23 1층,11:00에 영업 시작,0502-1900-0410,,,,"{'커피가 맛있어요': 130, '친절해요': 97, '디저트가 맛있어요': 86, '음료가 맛있어요': 61, '매장이 청결해요': 35, '인테리어가 멋져요': 29, '대화하기 좋아요': 22, '특별한 메뉴가 있어요': 18, '사진이 잘 나와요': 12, '가성비가 좋아요': 11, '집중하기 좋아요': 8, '화장실이 깨끗해요': 8, '좌석이 편해요': 2, '차분한 분위기에요': 1, '뷰가 좋아요': 1}",194,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230112_93%2F16735080421068H8qc_JPEG%2F1673507927719-15.jpg"""
19,러셀커피,"카페,디저트",0.0,112,63,대구 수성구 명덕로 494-11 1층 러셀커피,10:00에 영업 시작,0507-1476-2218,,,,"{'커피가 맛있어요': 97, '인테리어가 멋져요': 66, '디저트가 맛있어요': 62, '특별한 메뉴가 있어요': 54, '친절해요': 48, '음료가 맛있어요': 41, '매장이 청결해요': 28, '대화하기 좋아요': 27, '사진이 잘 나와요': 24, '주차하기 편해요': 15, '좌석이 편해요': 10, '집중하기 좋아요': 7, '가성비가 좋아요': 3, '화장실이 깨끗해요': 3, '차분한 분위기에요': 2, '음악이 좋아요': 2, '차가 맛있어요': 2, '뷰가 좋아요': 2, '아늑해요': 1, '비싼 만큼 가치있어요': 1, '오래 머무르기 좋아요': 1, '건강한 맛이에요': 1, '종류가 다양해요': 1}",111,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230609_177%2F1686301941253mnQL7_JPEG%2F93D83D3A-1722-4708-818D-AB63F7936923.jpeg"""
